Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
sinn-chronograph-vollkalender-38mm-weiss-77990-automatik-p2162,Sinn Chronograph Vollkalender 38mm Weiß 77990 Automatik,"<p>Hier präsentieren wir die Sinn Chronograph Vollkalender. Unsere Bilder sind unbearbeitet und zeigen jedes Detail – mehr, als das bloße Auge wahrnimmt.</p><table><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Interner Code</th><td>HV-2162</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Referenz</th><td>A-90358</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Durchmesser</th><td>38 mm</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Gehäuse</th><td>Edelstahl (Vergoldet)</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Zifferblatt</th><td>Weiß</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Band</th><td>Leder (Aftermarket von Kaufmann)</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Werk</th><td>Automatik</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Lieferumfang</th><td>Echtheitszertifikat</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Zustand</th><td>Gut</td></tr></table><p>Jede Uhr wird vor dem Verkauf geprüft. 12 Monate Garantie auf das Werk, 14 Tage Rückgaberecht. Versand: Deutschland kostenfrei, Europa 79 €, weltweit 150 € — oder persönliche Übergabe in unserem Showroom in Frankfurt.</p><p><strong>Bei Zahlung per Überweisung bitte als Verwendungszweck angeben: HV-2162</strong></p>",Sinn,Armbanduhr,"Sinn, A-90358, Gut",TRUE,Titel,Einzelstück,HV-P2162,shopify,1,deny,manual,2190,TRUE,TRUE,https://hahn-vo-df1c.vercel.app/assets/products/p2162/0.jpg,1,Sinn Chronograph Vollkalender 38mm Weiß 77990 Automatik,active
sinn-chronograph-vollkalender-38mm-weiss-77990-automatik-p2162,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p2162/1.jpg,2,Sinn Chronograph Vollkalender 38mm Weiß 77990 Automatik,
sinn-chronograph-vollkalender-38mm-weiss-77990-automatik-p2162,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p2162/2.jpg,3,Sinn Chronograph Vollkalender 38mm Weiß 77990 Automatik,
sinn-chronograph-vollkalender-38mm-weiss-77990-automatik-p2162,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p2162/3.jpg,4,Sinn Chronograph Vollkalender 38mm Weiß 77990 Automatik,
sinn-chronograph-vollkalender-38mm-weiss-77990-automatik-p2162,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p2162/4.jpg,5,Sinn Chronograph Vollkalender 38mm Weiß 77990 Automatik,
sinn-chronograph-vollkalender-38mm-weiss-77990-automatik-p2162,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p2162/5.jpg,6,Sinn Chronograph Vollkalender 38mm Weiß 77990 Automatik,
tudor-black-bay-bucherer-blue-automatik-only-watch-p5069,Tudor Black Bay Bucherer Blue Automatik only watch,"<p>Hier präsentieren wir die Tudor Black Bay Bucherer Blue Ref. 79250BB. Eine seltene Sonderedition, die exklusiv für Bucherer gefertigt wurde. Besonders charakteristisch sind das markante blaue Zifferblatt und die blaue Lünette. Unsere Bilder sind unbearbeitet und zeigen jedes Detail – mehr, als das bloße Auge wahrnimmt.</p><table><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Interner Code</th><td>HV-5069</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Referenz</th><td>79250BB</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Durchmesser</th><td>43 mm</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Gehäuse</th><td>Bronze</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Zifferblatt</th><td>Blau</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Band</th><td>Textil</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Werk</th><td>Automatik (Manufakturwerk)</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Zustand</th><td>Sehr gut</td></tr></table><p>Jede Uhr wird vor dem Verkauf geprüft. 12 Monate Garantie auf das Werk, 14 Tage Rückgaberecht. Versand: Deutschland kostenfrei, Europa 79 €, weltweit 150 € — oder persönliche Übergabe in unserem Showroom in Frankfurt.</p><p><strong>Bei Zahlung per Überweisung bitte als Verwendungszweck angeben: HV-5069</strong></p>",Tudor,Armbanduhr,"Tudor, 79250BB, Sehr gut",TRUE,Titel,Einzelstück,HV-P5069,shopify,1,deny,manual,2790,TRUE,TRUE,https://hahn-vo-df1c.vercel.app/assets/products/p5069/0.jpg,1,Tudor Black Bay Bucherer Blue Automatik only watch,active
tudor-black-bay-bucherer-blue-automatik-only-watch-p5069,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p5069/1.jpg,2,Tudor Black Bay Bucherer Blue Automatik only watch,
tudor-black-bay-bucherer-blue-automatik-only-watch-p5069,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p5069/2.jpg,3,Tudor Black Bay Bucherer Blue Automatik only watch,
tudor-black-bay-bucherer-blue-automatik-only-watch-p5069,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p5069/3.jpg,4,Tudor Black Bay Bucherer Blue Automatik only watch,
